"","class","method","set","precision","recall","f1","accuracy"
"1","B cell","ItClust",0,NA,NA,NA,NA
"2","B cell","Seurat",0,NA,NA,NA,NA
"3","B cell","SingleR",0,NA,NA,NA,NA
"4","B cell","CellID",0,NA,NA,NA,NA
"5","B cell","SingleCellNet",0,NA,NA,NA,NA
"6","Cytotoxic T cell","ItClust",0,NA,NA,NA,NA
"7","Cytotoxic T cell","Seurat",0,NA,NA,NA,NA
"8","Cytotoxic T cell","SingleR",0,NA,NA,NA,NA
"9","Cytotoxic T cell","CellID",0,NA,NA,NA,NA
"10","Cytotoxic T cell","SingleCellNet",0,NA,NA,NA,NA
"11","Dendritic cell","ItClust",0,NA,NA,NA,NA
"12","Dendritic cell","Seurat",0,NA,NA,NA,NA
"13","Dendritic cell","SingleR",0,NA,NA,NA,NA
"14","Dendritic cell","CellID",0,NA,NA,NA,NA
"15","Dendritic cell","SingleCellNet",0,NA,NA,NA,NA
"16","CD4+ T cell","ItClust",0,NA,NA,NA,NA
"17","CD4+ T cell","Seurat",0,NA,NA,NA,NA
"18","CD4+ T cell","SingleR",0,NA,NA,NA,NA
"19","CD4+ T cell","CellID",0,NA,NA,NA,NA
"20","CD4+ T cell","SingleCellNet",0,NA,NA,NA,NA
"21","Megakaryocyte","ItClust",0,NA,NA,NA,NA
"22","Megakaryocyte","Seurat",0,NA,NA,NA,NA
"23","Megakaryocyte","SingleR",0,NA,NA,NA,NA
"24","Megakaryocyte","CellID",0,NA,NA,NA,NA
"25","Megakaryocyte","SingleCellNet",0,NA,NA,NA,NA
"26","Natural killer cell","ItClust",0,NA,NA,NA,NA
"27","Natural killer cell","Seurat",0,NA,NA,NA,NA
"28","Natural killer cell","SingleR",0,NA,NA,NA,NA
"29","Natural killer cell","CellID",0,NA,NA,NA,NA
"30","Natural killer cell","SingleCellNet",0,NA,NA,NA,NA
"31","CD16+ monocyte","ItClust",0,NA,NA,NA,NA
"32","CD16+ monocyte","Seurat",0,NA,NA,NA,NA
"33","CD16+ monocyte","SingleR",0,NA,NA,NA,NA
"34","CD16+ monocyte","CellID",0,NA,NA,NA,NA
"35","CD16+ monocyte","SingleCellNet",0,NA,NA,NA,NA
"36","CD14+ monocyte","ItClust",0,NA,NA,NA,NA
"37","CD14+ monocyte","Seurat",0,NA,NA,NA,NA
"38","CD14+ monocyte","SingleR",0,NA,NA,NA,NA
"39","CD14+ monocyte","CellID",0,NA,NA,NA,NA
"40","CD14+ monocyte","SingleCellNet",0,NA,NA,NA,NA
"41","Plasmacytoid dendritic cell","ItClust",0,NA,NA,NA,NA
"42","Plasmacytoid dendritic cell","Seurat",0,NA,NA,NA,NA
"43","Plasmacytoid dendritic cell","SingleR",0,NA,NA,NA,NA
"44","Plasmacytoid dendritic cell","CellID",0,NA,NA,NA,NA
"45","Plasmacytoid dendritic cell","SingleCellNet",0,NA,NA,NA,NA
